form	lemma	POS	morph
༄༅།		PUNCT
		
།		PUNCT
གདམས་པ་	གདམས་པ་	VERB
རིན་ཆེན་	རིན་ཆེན་	OTHER
ཕྲེང་	ཕྲེང་	OTHER
མཛེ་	མཛེ་	VERB
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
།		PUNCT
རྗེ་	རྗེ་	NO_POS
བླ་མ་	བླ་མ་	NOUN
རྣམས་	རྣམས་	DET
ལ་	ལ་	PART
ཕྱག་	ཕྱག་	NOUN
འཚལ་	འཚལ་	VERB
ལོ་	གོ་	PART
།		PUNCT
		
།		PUNCT
ཚེ་	ཚེ་	NOUN
མི་རྟག་	མི་རྟག་	OTHER
སྟོན་ཀ་	སྟོན་ཀ་	NOUN
འི་	གི་	PART
སྤྲིན་	སྤྲིན་	NOUN
དང་	དང་	NO_POS
འདྲ་	འདྲ་	VERB
།		PUNCT
		
།		PUNCT
དུས་	དུས་	NOUN
ད་ལྟ་	ད་ལྟ་	OTHER
ཡོད་པ་	ཡོད་པ་	VERB
ད་ལྟ་	ད་ལྟ་	OTHER
མེད་	མེད་	VERB
།		PUNCT
		
།		PUNCT
ལུས་	ལུས་	NOUN
འདི་	འདི་	DET
ནི་	ནི་	NO_POS
ཆུ་	ཆུ་	NOUN
ཡི་	གི་	PART
ཆུ་བུར་	ཆུ་བུར་	NOUN
བཞིན་	བཞིན་	NOUN
།		PUNCT
		
།		PUNCT
དབུགས་	དབུགས་	NOUN
རྒྱུ་བ་	རྒྱུ་བ་	VERB
རླུང་	རླུང་	NOUN
གསེབ་	གསེབ་	NOUN
མར་མེ་	མར་མེ་	NOUN
མཚུངས་	མཚུངས་	VERB
།		PUNCT
		
།		PUNCT
གྲོག་	གྲོག་	NOUN
བཟང་པོ་	བཟང་པོ་	ADJ
ལྷ་བུ་	ལྷ་བུ་	NOUN
འདྲ་བ་	འདྲ་བ་	VERB
ཡང་	ཀྱང་	PART
།		PUNCT
		
།		PUNCT
ཤུལ་	ཤུལ་	NOUN
དུ་	ལ་	PART
བསྐྱུར་	བསྐྱུར་	NO_POS
ན་	ནས་	PART
འགྲོགས་	འགྲོགས་	NO_POS
དབང་མེད་	དབང་མེད་	ADJ
།		PUNCT
		
།		PUNCT
རྒྱུ་ནོར་	རྒྱུ་ནོར་	OTHER
རྫ་	རྫ་	NOUN
རི་	རི་	NOUN
ལྟ་	ལྟ་	OTHER
སྤུངས་	སྤུངས་	VERB
ཡོད་	ཡོད་	VERB
ཀྱང་	ཀྱང་	PART
།		PUNCT
		
།		PUNCT
ཁབ་	ཁབ་	NOUN
ཙམ་	ཙམ་	DET
ཞིག་	ཅིག་	PART
ཁྱེར་བ་	ཁྱེར་བ་	VERB
འི་	གི་	PART
དབང་	དབང་	NOUN
ནི་	ནི་	NO_POS
མེད་	མེད་	VERB
།		PUNCT
		
།		PUNCT
ཁོ་	ཁོ་	PRON
འཆི་བདག་	འཆི་བདག་	NOUN
གཤིན་རྗེ་	གཤིན་རྗེ་	OTHER
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
ས་	གིས་	PART
།		PUNCT
		
།		PUNCT
དབང་མ་	དབང་མ་	NO_POS
སྟེར་	སྟེར་	VERB
ཕྱི་མ་	ཕྱི་མ་	ADJ
འི་	གི་	PART
ཡུལ་	ཡུལ་	NOUN
དུ་	ལ་	PART
ཁྲིད་	ཁྲིད་	VERB
།		PUNCT
		
།		PUNCT
ལུས་	ལུས་	NOUN
མཛེས་པ་	མཛེས་པ་	VERB
འི་	གི་	PART
ལང་ཚོ་	ལང་ཚོ་	OTHER
བཀྲག་	བཀྲག་	OTHER
ལ་	ལ་	PART
གསལ་	གསལ་	VERB
།		PUNCT
		
།		PUNCT
མཚར་སྡུག་	མཚར་སྡུག་	NO_POS
གི་	གི་	PART
མེ་ཏོག་	མེ་ཏོག་	NOUN
འདྲ་	འདྲ་	VERB
ན་	ལ་	PART
ཡང་	ཀྱང་	PART
།		PUNCT
		
།		PUNCT
དུས་	དུས་	NOUN
ནམ་ཞིག་	ནམ་ཞིག་	NO_POS
མི་རྟག་	མི་རྟག་	OTHER
སད་	སད་	VERB
ཀྱིས་	གིས་	PART
ཁྱེ་	ཁྱེ་	VERB
།		PUNCT
		
།		PUNCT
དགྲ་	དགྲ་	NOUN
འཆི་བདག་	འཆི་བདག་	NOUN
གཤིན་རྗེ་	གཤིན་རྗེ་	OTHER
མཆེ་བ་	མཆེ་བ་	NOUN
གཙིགས་	གཙིགས་	NO_POS
།		PUNCT
		
།		PUNCT
ལས་ངན་པ་	ལས་ངན་པ་	NOUN
འི་	གི་	PART
ཞགས་པ་	ཞགས་པ་	NOUN
ས་	གིས་	PART
དབང་མེད་	དབང་མེད་	ADJ
བསྡམ་	བསྡམ་	NO_POS
།		PUNCT
		
།		PUNCT
རྒྱོབ་	རྒྱོབ་	NO_POS
སོད་	སོད་	VERB
ཀྱི་	གི་	PART
གནམ་ས་	གནམ་ས་	NOUN
གང་བ་	གང་བ་	VERB
འི་	གི་	PART
དུས་	དུས་	NOUN
།		PUNCT
		
།		PUNCT
སྐྱབས་	སྐྱབས་	NOUN
བླ་མ་	བླ་མ་	NOUN
དཀོན་མཆོག་	དཀོན་མཆོག་	NOUN
གསུམ་	གསུམ་	NUM
ལ་	ལ་	ADP
ས་	གིས་	PART
མེད་	མེད་	VERB
།		PUNCT
		
།		PUNCT
དུས་	དུས་	NOUN
ད་ལྟ་	ད་ལྟ་	OTHER
རང་དབང་	རང་དབང་	NOUN
ཡོད་པ་	ཡོད་པ་	VERB
འི་	གི་	PART
དུས་	དུས་	NOUN
།		PUNCT
		
།		PUNCT
བློ་	བློ་	NOUN
དམ་པ་	དམ་པ་	VERB
འི་	གི་	PART
ཆོ་	ཆོ་	NOUN
ལ་	ལ་	PART
ཕྱོགས་པ་	ཕྱོགས་པ་	VERB
ས་	གིས་	PART
ན་	ལ་	PART
།		PUNCT
		
།		PUNCT
ལ་	ལ་	ADP
ས་	གིས་	PART
བྱས་པ་	བྱས་པ་	VERB
དོན་	དོན་	NOUN
དང་	དང་	NO_POS
ལྡན་པ་	ལྡན་པ་	VERB
ར་	ལ་	PART
འགྱུར་	འགྱུར་	VERB
།		PUNCT
		
།		PUNCT
རང་སེམས་	རང་སེམས་	NOUN
འདི་	འདི་	DET
རྟ་རྒོད་	རྟ་རྒོད་	NOUN
དང་	དང་	NO_POS
འདྲ་བ་	འདྲ་བ་	VERB
ས་	གིས་	PART
།		PUNCT
		
།		PUNCT
ངེས་འབྱུང་	ངེས་འབྱུང་	NOUN
ལྕག་	ལྕག་	NOUN
གིས་	གིས་	PART
བྲབ་པ་	བྲབ་པ་	NO_POS
དང་	དང་	NO_POS
།		PUNCT
		
།		PUNCT
ཚེ་	ཚེ་	NOUN
འདི་	འདི་	DET
ར་	ལ་	PART
སྣང་	སྣང་	VERB
འཁྲུལ་པ་	འཁྲུལ་པ་	NO_POS
འི་	གི་	PART
ཞེན་པ་	ཞེན་པ་	VERB
ཐོངས་		NON_WORD
།		PUNCT
		
།		PUNCT
འགྲོ་བ་	འགྲོ་བ་	VERB
ཀུན་	ཀུན་	DET
ཕ་མ་	ཕ་མ་	NOUN
ར་	ལ་	PART
